user_id,product_id,product_name,image_url,interaction,timestamp
A0986263H7SX62P1SRDD,B00JO5MTXI,Promithi Hot NEW Silver Plated Crystal Lucky Clover Pendant Necklace Fashion Jewelry Red,https://images-na.ssl-images-amazon.com/images/I/41cs2qggrcL.jpg,1,2015-04-27 09:00:00
A0986263H7SX62P1SRDD,B00LD84PGS,Yazilind Elegant 14K Gold Filled Inlay Clear Round Cubic Zirconia Small Hoop Earrings Earrings for Women,https://images-na.ssl-images-amazon.com/images/I/319%2Bt3lKgsL.jpg,1,2015-04-27 09:00:00
A0986263H7SX62P1SRDD,B00OR6KCAQ,PPPerson Fashion Butterfly Pendant Quartz Retro Weave Wrap Around Leather Bracelet Lady Woman Wrist Watch,https://images-na.ssl-images-amazon.com/images/I/51L-1aGReNL.jpg,1,2015-04-27 09:00:00
A0986263H7SX62P1SRDD,B00S60V1RW,DDU(TM) 1Pc Pink- Unique Love Heart Ring Shape Crystal Rhinestone Pendant Neck Chain Necklace Valentine's Day Gift,https://images-na.ssl-images-amazon.com/images/I/416Pbe84cRL.jpg,1,2015-06-20 09:00:00
A0986263H7SX62P1SRDD,B00W6TY12Q,Dearlovers Women Vintage Slim Fit Lace Party Dress X-Large Size Black,https://images-na.ssl-images-amazon.com/images/I/41E0butugkL.jpg,1,2017-04-22 09:00:00
A0986263H7SX62P1SRDD,B01CKX5Y4Q,Women's Oversized Polarized Sunglasses Mirrored Wayfarer Sunglasses For Women,https://images-na.ssl-images-amazon.com/images/I/21HTZPGOyTL.jpg,1,2017-08-04 09:00:00
A10036437T54UNY5JRYU,B0175YMTNY,Blooming Jelly Women's Sexy Bandage Plain Deep V Neck Lace Up Long Sleeve Blouse Tops Red,https://images-na.ssl-images-amazon.com/images/I/41pn-1sBQHL.jpg,1,2016-06-04 09:00:00
A10036437T54UNY5JRYU,B016JN2RUM,Orangesky Womens Casual Knit Sleeve Thin Cardigan (L),https://images-na.ssl-images-amazon.com/images/I/41fHiRxMK%2BL.jpg,1,2017-12-17 09:00:00
A10036437T54UNY5JRYU,B01AA5K7FC,Wink Gal Women's Strappy Lace Bralette Criss Cross Bra Cami Tops Black M,https://images-na.ssl-images-amazon.com/images/I/41FwDQwtLTL.jpg,1,2017-12-17 09:00:00
A10036437T54UNY5JRYU,B01DPCVJ9U,KaKing Women's T-shirt Round Neck Short Sleeve Black Tank Tops Blouse,https://images-na.ssl-images-amazon.com/images/I/41jdlqrUOtL.jpg,1,2017-12-17 09:00:00
A10036437T54UNY5JRYU,B01HCJCDSI,Hunputa Women Sexy Lace Halter Cross Bandage Underwear Vest Strap Lingerie (M),https://images-na.ssl-images-amazon.com/images/I/51%2BsGdxKv1L.jpg,1,2017-12-17 09:00:00
A101HTPLV9HVMR,B00IQZZEYS,Yazilind Punk Rhinestone Inlay Spike Rivet Metal Golden Tone Adjustable Bib Statement Necklace,https://images-na.ssl-images-amazon.com/images/I/51EVMy9E%2BcL.jpg,1,2014-04-23 09:00:00
